title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat,Cluster,ClusterName
Things Heard & Seen,2021,121.0,"Drama,Horror,Mystery",5.3,40668,10.613221410450464,0.1303170206217297,0.6964604493690366,0.0907606507426439,-0.5661434287473068,2020,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Low,Many,Epic,3,Mainstream Popcorn
Jolly LLB 3,2025,157.0,"Comedy,Drama",6.4,40661,10.613049274364167,0.4660818713450292,0.696398891966759,0.3245788987704719,-0.2303170206217297,2020,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Many,Epic,3,Mainstream Popcorn
The Dry,2020,117.0,"Crime,Drama,Mystery",6.8,40660,10.613024681075675,0.6297630040012312,0.6963373345644813,0.4385274916135381,-0.0665743305632501,2020,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High,Many,Long,3,Mainstream Popcorn
22 July,2018,143.0,"Crime,Drama,History",6.8,40627,10.612212763059391,0.6297630040012312,0.6962757771622038,0.4384887250389613,-0.0665127731609726,2010,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Many,Epic,3,Mainstream Popcorn
The Protector,2005,83.0,"Action,Crime,Drama",7.0,40624,10.612138919632038,0.6990458602646968,0.6962142197599261,0.4866856681805923,0.0028316405047706,2000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Short,1,Mass Favorites
Bug,2006,102.0,"Drama,Horror,Thriller",6.1,40601,10.61157260546028,0.3465066174207448,0.6961526623576485,0.2412215042419946,-0.3496460449369036,2000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Medium,Many,Standard,3,Mainstream Popcorn
Jimmy Neutron: Boy Genius,2001,82.0,"Action,Adventure,Animation",6.1,40575,10.610932037796898,0.3465066174207448,0.6960911049553709,0.2412001741947542,-0.349584487534626,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Many,Short,3,Mainstream Popcorn
"Good Luck, Have Fun, Don't Die",2025,134.0,"Action,Adventure,Comedy",7.0,40570,10.610808804651954,0.6990458602646968,0.6960295475530932,0.4865565738388998,0.0030163127116036,2020,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Epic,1,Mass Favorites
Sex and Lucía,2001,128.0,"Drama,Romance",7.0,40567,10.610734857474856,0.6990458602646968,0.6959679901508157,0.486513542391669,0.0030778701138811,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,High,Many,Epic,1,Mass Favorites
The Nutcracker and the Four Realms,2018,99.0,"Adventure,Family,Fantasy",5.6,40532,10.609871736128069,0.1974453678054786,0.695906432748538,0.1374035015722336,-0.4984610649430594,2010,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Low,Many,Standard,3,Mainstream Popcorn
