title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat
Saving Private Ryan,1998,169.0,"Drama,War",8.6,1636156,14.30786075731058,0.9958140966451215,0.9987072945521699,0.9945268023373623,-0.0028931979070483393,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Top,Massive,Epic
The Prestige,2006,130.0,"Drama,Mystery,Sci-Fi",8.5,1584861,14.276007895256976,0.9936595875654047,0.9986457371498922,0.9923139113003115,-0.004986149584487509,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Top,Massive,Epic
Schindler's List,1993,195.0,"Biography,Drama,History",9.0,1583450,14.275117200370907,0.9996306555863342,0.9985841797476146,0.9982153582592498,0.0010464758387196404,1990,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
The Green Mile,1999,189.0,"Crime,Drama,Fantasy",8.6,1559012,14.259563486683787,0.9958140966451215,0.9985226223453371,0.9943429031505396,-0.002708525700215514,1990,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
The Avengers,2012,143.0,"Action,Sci-Fi",8.0,1556255,14.257793494609409,0.9603570329332102,0.9984610649430594,0.9588791058280498,-0.03810403200984924,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
The Departed,2006,151.0,"Crime,Drama,Thriller",8.5,1551988,14.255047892071318,0.9936595875654047,0.9983995075407818,0.9920692428884764,-0.004739919975377038,2000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Top,Massive,Epic
Star Wars: Episode V - The Empire Strikes Back,1980,124.0,"Action,Adventure,Fantasy",8.7,1502466,14.222618981755957,0.997383810403201,0.9983379501385041,0.9957261087792622,-0.0009541397353031167,1980,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Avatar,2009,162.0,"Action,Adventure,Fantasy",7.9,1495797,14.218170401661661,0.9485995690981841,0.9982763927362265,0.946964555990474,-0.04967682363804238,2000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Back to the Future,1985,116.0,"Adventure,Comedy,Sci-Fi",8.5,1450845,14.187657392532849,0.9936595875654047,0.998214835333949,0.9918857415796001,-0.004555247768544213,1980,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Long
Avengers: Endgame,2019,181.0,"Action,Adventure,Sci-Fi",8.4,1442673,14.182008894006723,0.9905817174515236,0.9981532779316713,0.9887523883334229,-0.007571560480147732,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
Memento,2000,113.0,"Drama,Mystery,Thriller",8.4,1433446,14.175592591176999,0.9905817174515236,0.9980917205293937,0.9886914106961529,-0.007510003077870087,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Top,Massive,Long
Titanic,1997,194.0,"Drama,Romance",8.0,1390424,14.145120013768903,0.9603570329332102,0.998030163127116,0.9584652862386048,-0.037673130193905835,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Top,Massive,Epic
GoodFellas,1990,145.0,"Biography,Crime,Drama",8.7,1389231,14.144261634426954,0.997383810403201,0.9979686057248384,0.9953577306406091,-0.0005847953216373547,1990,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
The Truman Show,1998,103.0,"Comedy,Drama",8.2,1369686,14.130092804548427,0.9799630655586334,0.9979070483225608,0.9779120502167441,-0.01794398276392739,1990,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Standard
Avengers: Infinity War,2018,149.0,"Action,Adventure,Sci-Fi",8.4,1368811,14.129453768324732,0.9905817174515236,0.9978454909202832,0.9884475001470728,-0.007263773468759616,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
Guardians of the Galaxy,2014,121.0,"Action,Adventure,Comedy",8.0,1362172,14.124591776714928,0.9603570329332102,0.9977839335180055,0.9582288179017793,-0.037426900584795364,2010,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Léon: The Professional,1994,110.0,"Action,Crime,Drama",8.5,1349467,14.115220998672944,0.9936595875654047,0.9977223761157279,0.9913964047559298,-0.00406278855032316,1990,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Long
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143.0,"Action,Adventure,Fantasy",8.1,1323064,14.095461572653633,0.9710987996306556,0.9976608187134502,0.9688272234911687,-0.026562019082794652,2000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
WALL·E,2008,98.0,"Adventure,Animation,Family",8.4,1318637,14.092109943689897,0.9905817174515236,0.9975992613111727,0.9882035895979927,-0.007017543859649145,2000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Standard
Kill Bill: Vol. 1,2003,111.0,"Action,Crime,Thriller",8.2,1305555,14.082139561643697,0.9799630655586334,0.9975377039088951,0.9775501063328812,-0.01757463835026163,2000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Top,Massive,Long
